Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/03/2020,Recovered,62802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/03/2020,Active,51128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2020,Confirmed,125853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2020,Deaths,4604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2020,Recovered,65113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2020,Active,56136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2020,Confirmed,131603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2020,Deaths,4909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2020,Recovered,66434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2020,Active,60260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2020,Confirmed,146008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2020,Deaths,5406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2020,Recovered,68359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2020,Active,72243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2020,Confirmed,157114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2020,Deaths,5823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2020,Recovered,70729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2020,Active,80562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2020,Confirmed,168260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2020,Deaths,6464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2020,Recovered,74139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2020,Active,87657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2020,Confirmed,182919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2020,Deaths,7144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2020,Recovered,76192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2020,Active,99583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2020,Confirmed,198757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2020,Deaths,7948
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2020,Recovered,78944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2020,Active,111865
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2020,Confirmed,218343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2020,Deaths,8845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2020,Recovered,81427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2020,Active,128071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/03/2020,Confirmed,246261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/03/2020,Deaths,9951
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/03/2020,Recovered,83064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/03/2020,Active,153246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2020,Confirmed,275869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2020,Deaths,11429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2020,Recovered,85509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2020,Active,178931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2020,Confirmed,308175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2020,Deaths,13134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2020,Recovered,89775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2020,Active,205266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2020,Confirmed,341585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2020,Deaths,14831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2020,Recovered,95990
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2020,Active,230764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2020,Confirmed,383750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2020,Deaths,16748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2020,Recovered,96456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2020,Active,270546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2020,Confirmed,424889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2020,Deaths,19016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2020,Recovered,105997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2020,Active,299876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/03/2020,Confirmed,475706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/03/2020,Deaths,21793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/03/2020,Recovered,111445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/03/2020,Active,342468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2020,Confirmed,538666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2020,Deaths,24800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2020,Recovered,119804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2020,Active,394062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/03/2020,Confirmed,603066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/03/2020,Deaths,28318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/03/2020,Recovered,128508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/03/2020,Active,446240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/03/2020,Confirmed,670723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/03/2020,Deaths,31997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/03/2020,Recovered,136800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/03/2020,Active,501926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/03/2020,Confirmed,730300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/03/2020,Deaths,35470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/03/2020,Recovered,146261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/03/2020,Active,548569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/03/2020,Confirmed,794939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/03/2020,Deaths,39634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/03/2020,Recovered,161707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/03/2020,Active,593598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2020,Confirmed,871355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2020,Deaths,44478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2020,Recovered,174074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2020,Active,652803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2020,Confirmed,947569
