Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/2020,Recovered,1130526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/2020,Active,2208008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2020,Confirmed,3671310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2020,Deaths,258658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2020,Recovered,1166155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2020,Active,2246497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/05/2020,Confirmed,3761332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/05/2020,Deaths,265327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/05/2020,Recovered,1210894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/05/2020,Active,2285111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/05/2020,Confirmed,3850418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/05/2020,Deaths,270736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/05/2020,Recovered,1249311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/05/2020,Active,2330371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/05/2020,Confirmed,3941935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/05/2020,Deaths,276304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/05/2020,Recovered,1284849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/05/2020,Active,2380782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/05/2020,Confirmed,4027781
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/05/2020,Deaths,280569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/05/2020,Recovered,1337367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/05/2020,Active,2409845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2020,Confirmed,4104027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2020,Deaths,284135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2020,Recovered,1370108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2020,Active,2449784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/05/2020,Confirmed,4180268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/05/2020,Deaths,287608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/05/2020,Recovered,1416204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/05/2020,Active,2476456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/05/2020,Confirmed,4263867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/05/2020,Deaths,293155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/05/2020,Recovered,1452191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/05/2020,Active,2518521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/05/2020,Confirmed,4348619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/05/2020,Deaths,298383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/05/2020,Recovered,1506905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/05/2020,Active,2543331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/05/2020,Confirmed,4445724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/05/2020,Deaths,303651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/05/2020,Recovered,1545712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/05/2020,Active,2596361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2020,Confirmed,4542073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2020,Deaths,308866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2020,Recovered,1592880
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2020,Active,2640327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2020,Confirmed,4637485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2020,Deaths,313037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2020,Recovered,1648546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2020,Active,2675902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/05/2020,Confirmed,4715994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/05/2020,Deaths,316366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/05/2020,Recovered,1688699
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/05/2020,Active,2710929
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/05/2020,Confirmed,4804278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/05/2020,Deaths,319657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/05/2020,Recovered,1740909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/05/2020,Active,2743712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/05/2020,Confirmed,4900702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/05/2020,Deaths,324441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/05/2020,Recovered,1792256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/05/2020,Active,2784005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/05/2020,Confirmed,5003730
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/05/2020,Deaths,329326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/05/2020,Recovered,1850441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/05/2020,Active,2823963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/05/2020,Confirmed,5110064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/05/2020,Deaths,334112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/05/2020,Recovered,1900768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/05/2020,Active,2875184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/05/2020,Confirmed,5216964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/05/2020,Deaths,339396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/05/2020,Recovered,2008541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/05/2020,Active,2869027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/05/2020,Confirmed,5322253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/05/2020,Deaths,343385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/05/2020,Recovered,2062802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/05/2020,Active,2916066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/05/2020,Confirmed,5417579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/05/2020,Deaths,346525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/05/2020,Recovered,2117555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/05/2020,Active,2953499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/05/2020,Confirmed,5504542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/05/2020,Deaths,347703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/05/2020,Recovered,2180605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/05/2020,Active,2976234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2020,Confirmed,5597064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2020,Deaths,351906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2020,Recovered,2235118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2020,Active,3010040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2020,Confirmed,5699664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2020,Deaths,357119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2020,Recovered,2297613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2020,Active,3044932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2020,Confirmed,5818978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2020,Deaths,361820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2020,Recovered,2363746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/05/2020,Active,3093412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/05/2020,Confirmed,5940145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/05/2020,Deaths,366562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/05/2020,Recovered,2440127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/05/2020,Active,3133456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/05/2020,Confirmed,6077978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/05/2020,Deaths,370718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/05/2020,Recovered,2509981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/05/2020,Active,3197279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/05/2020,Confirmed,6185530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/05/2020,Deaths,373606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/05/2020,Recovered,2585589
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/05/2020,Active,3226335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/06/2020,Confirmed,6280725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/06/2020,Deaths,376674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/06/2020,Recovered,2639599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/06/2020,Active,3264452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/2020,Confirmed,6401536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/2020,Deaths,381497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/2020,Recovered,2743083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/2020,Active,3276956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2020,Confirmed,6520924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2020,Deaths,387069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2020,Recovered,2821430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2020,Active,3312425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/2020,Confirmed,6647861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/2020,Deaths,392218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/2020,Recovered,2890776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/2020,Active,3364867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/06/2020,Confirmed,6778724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/06/2020,Deaths,396994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/06/2020,Recovered,2959037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/06/2020,Active,3422693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/06/2020,Confirmed,6914666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/06/2020,Deaths,400875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/06/2020,Recovered,3030214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/06/2020,Active,3483577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/2020,Confirmed,7026925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/2020,Deaths,403617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/2020,Recovered,3084718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/2020,Active,3538590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,Confirmed,7129150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,Deaths,407314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,Recovered,3235640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,Active,3486196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,Confirmed,7253492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,Deaths,412236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,Recovered,3317121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2020,Active,3524135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/06/2020,Confirmed,7387517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/06/2020,Deaths,417441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/06/2020,Recovered,3395154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/06/2020,Active,3574922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,Confirmed,7525631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,Deaths,422215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,Recovered,3480121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,Active,3623295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/06/2020,Confirmed,7654725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/06/2020,Deaths,426512
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/06/2020,Recovered,3558933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/06/2020,Active,3669280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2020,Confirmed,7790735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2020,Deaths,430750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2020,Recovered,3644048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2020,Active,3715937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/06/2020,Confirmed,7924156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/06/2020,Deaths,434124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/06/2020,Recovered,3714006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/06/2020,Active,3776026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/2020,Confirmed,8043794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/2020,Deaths,437549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/2020,Recovered,3793406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/2020,Active,3812839
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2020,Confirmed,8185197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2020,Deaths,444416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2020,Recovered,3890800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2020,Active,3849981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2020,Confirmed,8327050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2020,Deaths,449671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2020,Recovered,4008201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2020,Active,3869178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/06/2020,Confirmed,8466978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/06/2020,Deaths,454700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/06/2020,Recovered,4088826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/06/2020,Active,3923452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/06/2020,Confirmed,8647784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/06/2020,Deaths,460973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/06/2020,Recovered,4183298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/06/2020,Active,4003513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2020,Confirmed,8805336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2020,Deaths,465222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2020,Recovered,4298603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2020,Active,4041511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/06/2020,Confirmed,8933875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/06/2020,Deaths,469185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/06/2020,Recovered,4366875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/06/2020,Active,4097815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/06/2020,Confirmed,9071733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/06/2020,Deaths,472756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/06/2020,Recovered,4458093
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/06/2020,Active,4140884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/06/2020,Confirmed,9237071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/06/2020,Deaths,478067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/06/2020,Recovered,4561696
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/06/2020,Active,4197308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/06/2020,Confirmed,9408254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/06/2020,Deaths,483328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/06/2020,Recovered,4677005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/06/2020,Active,4247921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/06/2020,Confirmed,9586141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/06/2020,Deaths,489955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/06/2020,Recovered,4769458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/06/2020,Active,4326728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/06/2020,Confirmed,9777487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/06/2020,Deaths,494782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/06/2020,Recovered,4875774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/06/2020,Active,4406931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/06/2020,Confirmed,9955597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/06/2020,Deaths,499268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/06/2020,Recovered,4981808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/06/2020,Active,4474521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/06/2020,Confirmed,10117227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/06/2020,Deaths,502357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/06/2020,Recovered,5070592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/06/2020,Active,4544278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/06/2020,Confirmed,10275799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/06/2020,Deaths,506078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/06/2020,Recovered,5164494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/06/2020,Active,4605227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/06/2020,Confirmed,10449697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/06/2020,Deaths,511210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/06/2020,Recovered,5281459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/06/2020,Active,4657028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/07/2020,Confirmed,10667386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/07/2020,Deaths,516221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/07/2020,Recovered,5397083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/07/2020,Active,4754082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/07/2020,Confirmed,10875091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/07/2020,Deaths,521341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/07/2020,Recovered,5681477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/07/2020,Active,4672273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2020,Confirmed,11078585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2020,Deaths,526336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2020,Recovered,5790942
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2020,Active,4761307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/07/2020,Confirmed,11272152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/07/2020,Deaths,530705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/07/2020,Recovered,5986375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/07/2020,Active,4755072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2020,Confirmed,11454847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2020,Deaths,534150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2020,Recovered,6105546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2020,Active,4815151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07/2020,Confirmed,11622190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07/2020,Deaths,537947
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07/2020,Recovered,6228768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07/2020,Active,4855475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/07/2020,Confirmed,11833034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/07/2020,Deaths,544054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/07/2020,Recovered,6373513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/07/2020,Active,4915467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/07/2020,Confirmed,12044836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/07/2020,Deaths,549373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/07/2020,Recovered,6531016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/07/2020,Active,4964447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2020,Confirmed,12273063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2020,Deaths,554831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2020,Recovered,6665237
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2020,Active,5052995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2020,Confirmed,12505640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2020,Deaths,560142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2020,Recovered,6804254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2020,Active,5141244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/07/2020,Confirmed,12721968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/07/2020,Deaths,565039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/07/2020,Recovered,6929711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/07/2020,Active,5227218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/07/2020,Confirmed,12914636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/07/2020,Deaths,568993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/07/2020,Recovered,7041174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/07/2020,Active,5304469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2020,Confirmed,13107415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2020,Deaths,572808
